context	result	golden_standard
FLOWER-POWER. Девушка годится в дочки, она приехала из провинциального Вайоминга, чтобы сниматься для модных журналов. Чуть волнистые волосы, загар, очень хочет походить на модель по имени Твигги. Она тянет пальчики к радиоприемнику с заморским названием Grundig, но спутник, уже плюхнувшийся на водительское место, брезгливо морщится, когда ручка настройки ловит музыкальную волну. Ему претит Вудсток с его психодиликой, поп-арт, голубые джинсы и все эти «дети цветов». О каком flower-power может идти речь, когда под капотом таится power агрегата из далекой экзотической Германии. Но прежде надо коснуться рукой, уставшей от тяжести денег, панелей из натурального дерева. Провести ладонью по мягкой коже, в которую затянуто торпедо, подумав при этом: «И как они ходят в такую жару в сапогах почти до колена?» Неспешно достать темные очки из перчаточного ящика -- его крышка неподражаемо клацнет так, что эхо прокатится по всему кузову.	Second	First
Салон «Куллинана» выглядит как платье от именитого кутюрье: столь просто, что догадываешься, чего стоит такая простота. Только на изготовление всех деревянных панелей из светлого ореха требуется более 350 часов работы краснодеревщика. Скорняк в это время перетягивает всю кожу в салоне -- место заводской заняла очень мягкая и износостойкая кожа nappa сорта fine fleur. Кожа выбирается из шкур лишь тех коров, что паслись на высокогорных пастбищах, где бока животных ни разу не царапали кусты и колючая проволока. Самым милым штрихом являются парочка маленьких подушек-думок (естественно, кожаных!) с вытесненным на них логотипом Carat Duchatelet.	Second	Second
На Pajero предусмотрены блокировки межосевого дифференциала и заднего межколесного. Межосевой блокируется автоматически, в тот момент, когда рычаг раздатки переведен в положение 4HLc. Это удобно, так как любой нормальный водитель переходит в этот режим работы трансмиссии даже на несерьезном бездорожье. А вот межколесный дифференциал надо включать принудительно, кнопкой на центральной панели и только после полной остановки автомобиля. Рекомендуется делать это заблаговременно, а не в тот момент, когда автомобиль окончательно завяз в мягком грунте. Потому что, потеряв запас хода, есть риск «засесть» намертво, и никакие блокировки не спасут от позора.	Second	Second
Беглого взгляда внутрь достаточно, чтобы понять -- Fiat сделал заметный рывок вперед. Вместо традиционной пластмассы в Stilo использованы мягкие синтетические материалы, руль обтянут приятной кожей. На центральной консоли появился информационный дисплей, размер которого увеличивается по мере роста цены за автомобиль. В самых дорогих версиях он даже цветной.	Second	Second
XC90 сохраняет все основные черты полноприводного семейства Volvo -- V-образный капот и выступающие «плечи» крыльев. Это удачно сочетается с мускулистым и современным дизайном, отличающимся мягкой округлостью изысканных линий.	Second	Second
-- Генрих Иванович Шаллер, -- улыбался полковник, пожимая мягкую девичью ладошку.	ZERO INTERSECTION	First
Ощутив смородиновое дыхание, задрожав от прикосновения мягких женских губ, Белецкий осознал, что в его душу стучится счастье, а потому немедленно открыл ажурную дверку и впустил его без оглядки.	First	First
Славист осторожно ощупал свою грудь и, увидев, что она совсем мягкая и проминается аж до самых легких, зашипел от ужаса, хватая ртом воздух:	ZERO INTERSECTION	Second
Генрих Иванович медленно приблизился к Елене, положил свои большие ладони ей на плечи, стал поглаживать их, с каждым разом все напористее, с моложавой страстью. Его пальцы проникли под выцветшее платье со стороны подмышек, слегка царапнувших его кожу порослью, ухватились за маленькие грудки, сжали мягкие соски...	Second	First
-- Ну, перышки у нее выросли на шее, -- пояснила мать. -- Несколько маленьких мягких перышек. А она так разволновалась, как будто пожар в доме!	First	First
Нужный момент наступил тогда, когда Джером понял, что, оттяни он еще мгновение -- будет поздно. Язык просился изо рта, ни вдохнуть, ни выдохнуть не было возможности. Джером высвободил из-за спины правую руку, сжимавшую самострел, направил ствол в Теплого и выстрелил. Он попал учителю в ляжку, в мягкое место возле самого паха.	Second	Second
В ведомство Ильи также входило небольшое подсобное помещение, где хранились всяческие приспособления для обработки рыбных пород -- ножи для соскабливания особо прочной чешуи, кованые крюки, на которые подвешивались рыбьи туши особо крупных размеров, слабо засоленные татарином по особому рецепту, рецепту, придуманному им самим в дни молодости, давно прожитой в персиковом Крыму, на берегу Черного моря... Если тело такой рыбины взрезать острым лезвием, то глазам восторженного покупателя представлялась неж-нейшая красная плоть, слегка зажирневшая, а оттого прозрачно-желтая по краям, до белых мягких косточек. Редкий покупатель при виде такой картины оставался равнодушным, обычно выделял слюну быстро и покупал кусок деликатеса для своих детишек, представляя тонкую нежную плоть уложенной красным флагом на разрезанную французскую булку с подтаявшим сливочным маслом. Дальше фантазия обещала чашку кофе со сливками и смешение вкусовых ощущений, сладких и слабосоленых, столь приятных перед началом солнечного воскресного дня.	Second	Second
А в одно из воскресений, когда влюбленные один раз уже ныряли к морскому дну, соревнуясь с рыбами, а затем лежали в мягком песке, лениво отщипывая от спелых гроздей винограда и обсасывая мясные сливовые косточки, когда их головы оказались чересчур близко, соприкоснувшись мокрыми волосами, а губы, липкие фруктовым ароматом, потянулись навстречу, когда они впервые стукнулись зубами в неумелом поцелуе, а рука Ильи скользнула по груди Айзы, наталкиваясь на вишневые косточки, когда тела сотрясло электричеством страсти, в небе внезапно прогремело пушечным выстрелом. Гром раскатился по всей округе, налетел порыв ветра и швырнул в глаза любовников горсть песка. Это заставило их отпрянуть друг от друга в неожиданном страхе, и они, кашляя, схватившись за глаза, побежали к морю, где бросились шальными головами в набегавшую волну и поплыли к горизонту, а достигнув его, с промытыми от песка глазами, оборотили свои лица к небу, которое было целиком свободно от туч, и откуда тогда взялся гром и шквальный ветер -- ничего этого им не было понятно.	Second	Second
Он сам обмывал теплой водой плечи и грудь Ильи, роняя слезы на кровавые подтеки, чувствуя, как проваливаются пальцы сквозь мягкое тело с переломанными костями. Он всматривался в изувеченное лицо сына, с черными сливами вместо глаз, с кровавой пробоиной вместо рта, и славил Аллаха, что не дожила до сего дня жена его Фатьма, умершая рано, от сердечной болезни. Не должна мать видеть смерть сына!	Second	Second
Прошло два дня с того момента, как Илья улегся мягким животом на икру. Вода в карьере становилась холоднее, и обитатели вследствие этого делались все более вялыми, готовясь к зиме своей холодной кровью.	Second	Second
Он подбежал к жене, обнял ее за теплые плечи, прислонился губами к мягкому уху и зашептал:	Second	First
В последних своих словах Ротшильд был вовсе не уверен, но он продолжал говорить мягким голосом, что девица произвела на свет прелестного младенца, который непременно станет ей в будущем опорой.	Second	Second
Митя обнял ее и искренне поцеловал в мягкие губы.	First	First
-- Выглядит, по-моему, обыкновенно! -- констатировала Кузьминична, трогая своей мягкой ладонью тельце мальчика. -- Температура вроде нормальная! Видать, только что подбросили!	ZERO INTERSECTION	First
Мальчишка хотел было еще хмыкнуть, но тут произошло неожиданное. Что-то молниеносно мелькнуло у него перед глазами и камнем врезалось в нос, ломая мягкие хрящики.	Second	Second
-- Здравствуй, -- поприветствовал Мыкин и взял продавщицу за мягкую руку. -- Мой друг -- Митрохин! Прошу любить и жаловать!	Second	First
-- Совсем голова мягкая стала?	Second	Second
-- Так, -- врач что-то вколол в зад Петрову и грубо вытащил шприц обратно, повредив в мягком месте какой-то сосудик, отчего из-под бледной кожи протекла каплей кровь. -- Как все! Цирроз!	Second	Second
-- Тебя спрашиваю! Чего молчишь?!! Опять нажрался... -- она обернулась, увидела Петрова отчетливо, осеклась и попятилась толстым задом, пока не уперлась мягким в стену. -- Умер, что ли?	Second	Second
Он перетерпел все ласки и был уложен в мягкую постель.	First	First
И ушла в ванную. А потом молча легла спать в другой комнате на мягком диване (я укрыл ее уже сонную), а утром, проснувшись раньше меня, исчезла.	Second	First
Писатель же Иван Алексеевич Свинцитский, тоже заглянув в рюмочную на Ульяновской, увы, ослаб. А в ослабшем виде он становился загадочным и непредсказуемым. Явившись домой, он сел в свое любимое мягкое кресло под торшером, где так хорошо читать вечерами, и позвал судьбоносным голосом:	Second	First
-- Моня, -- спрашивает Сергей у хозяина русского гастронома, -- почему у вас лещ с мягким знаком?	Second	Second
Я понимаю, это так, мягкая дружеская ирония. И все-таки зачем переписывать Шаламова?.. Меня интересует жизнь, а не тюрьма. И -- люди, а не монстры».	Second	Second
Так, в телевизионной программе, которую я редактировал в молодости, выпал мягкий знак в названии фильма. Получилась историко-партийная клубничка -- «Семя Ульянова». Теперь, может быть, такое еще поставят.	Second	Second
С этого начинали все мои знакомые литераторы. Лимонов пошел в официанты. Спортивный журналист Алексей Орлов присматривал за лабораторными кроликами. Публицист Гриша Рыскин стал массажистом. Хуже других пришлось автору детективных романов Незнанскому. На фабрике, где он служил уборщиком, стали довольно грубо измываться над мягким и симпатичным Фридрихом, когда узнали, что он из юристов -- им в Америке так завидуют, что терпеть не могут. Соавтор Незнанского Эдуард Тополь начинал по-другому. Заявив, что не собирается путаться с эмигрантским гетто, он приехал в Америку с готовым сценарием. Первая фраза звучала эффектно: «Голая Сарра лежала на диване». Вскоре Тополь выучился на таксиста. Когда их союз распался, Фридрих жаловался Довлатову, что Тополь зажилил его машинку. Сергей еще удивлялся: что ж это за следователь, который не может уследить за своей собственностью?	Second	Second
Больше всего огорчал Кадырова Аслан. Твердый и последовательный в недавних боях, он теперь стал мягким и безвольным. Пытаясь задобрить оппозицию, назначал своих противников на высокие государственные посты, которые тут же превращались в личные вотчины «назначенцев».	Second	Second
Ползли, удаляясь от мягкого климата побережья в тайгу, на промерзшие рудники и прииски -- на золото, на касситерит, на гибель...	Second	Second
Сегодня улыбалась и подбадривала. Одарила ясным безветренным утром, подрумянив его слегка бодрящим морозцем!.. Тропинку под ногами застелила мягким ковром ночной пороши -- так хорошо, хоть песни пой!.. В голове, как птица, залетевшая в комнату, забилась не к месту привязавшаяся фраза: «Лед тронулся, господа присяжные заседатели!..», сочиненная дуэтом талантливых остроумцев.	Second	First
Париж покоряет с первого дня встречи! Буквально через час пребывания в нем чувствуешь себя легко и просто, как со старым приветливым другом. Обаяние этого чудесного города --  в его мягкой жизнерадостности и легкости, поразительной легкости во всем! И прежде всего в архитектуре его бесчисленных дворцов и площадей, мансардных крыш, в его бульварах... В приветливой жизни улиц, в остроумных, общительных людях, в климате, наконец!	Second	Second
Хозяин дома, симпатичный грузин, на вид лет пятидесяти, с мягкими приятными манерами, преждевременно облысевший, встретил нас улыбкой, представил жене и повел в комнаты знакомить с остальными гостями, уже находившимися в квартире.	Second	Second
Михал Максимыч середь жандармов отличался мягкой просвещенностью. И Бенкендорф, представьте, его ценил. Он поручил Попову, помимо прочих дел, внимательное чтение всех писем, всех бумаг. Да, исходящих, но не из ведомства его сиятельства, а из мест заключения государственных преступников, сказать иначе, декабристов. И потому бумаги эти были проходящими через ведомство его сиятельства и снова исходящими -- теперь уж к адресатам. Словесник наш любил цезуры и не любил цензуры. Да что ж попишешь, ежели предписано?	Second	Second
Об этом -- рапорт: «В доме и надворных строениях, принадлежащих еврею Бромбергу, пересмотрены все места, где можно и неможно было подозревать хранение его бумаг. Особенное внимание обращено на мягкие мебеля и перины. Все обнаруженное уложено в чемодан, каковой в запечатанном виде имею счастье отправить с фельдъегерем».	Second	First
А Глинке слышался летний ливень, в его воображении мерцала жемчужная россыпь. «По приезде в Петербург я учился играть у знаменитого Филда... До сих пор хорошо помню его сильную, мягкую и отчетливую игру. Казалось, что не он ударял по клавишам, а сами пальцы падали на них, подобно каплям дождя, и рассыпались жемчугом по бархату».	Second	Second
Я пошла к Раисе и рассказала ей все. У меня, как видно, есть уже опыт в таких рассказах. Я рассказываю своим девочкам в институте, рассказываю даже случайным знакомым женщинам вроде тех, с которыми вместе валяешься три дня в роддоме после аборта. Но Раисе я рассказала не так. Раиса действительно поняла, что она у меня на свете одна. Что здесь речь уже идет не о зигзаге, а о потере жилья для меня и для Саши, о потере надежды на двухкомнатную квартиру, о которой я так страстно мечтала и которая мне даже снилась. Сколько раз в наши ночные разговоры мы с Петровым обставляли ее мебелью. Петров хотел сам расписать стену в кухне, как Сикейрос, одной громадной фреской, хотел расписать даже белый эмалированный поддон от газовой плиты, хотел расписать холодильник. Это все были мечты, хотя мой Петров неплохо рисует перышком, срисовывает из журналов портреты знаменитых джазменов, вставляет их в черные багетики и вешает по стенам. Петров может вести партию фоно в джазе, несколько лет он выступал в самодеятельности в клубе «Победа», пока не почувствовал себя старым для всех этих смотров самодеятельности, для поездок в автобусах по подшефным колхозам, для принудительного аккомпанирования участникам класса сольного пения. Петров освоил и перкаши и немного контрабас. И несколько раз он пел в сопровождении своего квартета -- рояль, гитара, контрабас, ударник -- английскую песню «Шейкохэм» -- так она, кажется, произносилась. Но никто не оценил его простой, без хрипотцы и оттенков, голос, его безупречный английский выговор. Он пел не так, как говорил, в этом ведь тоже есть искусственность. Он пел просто, громко, деревянно, монотонно, но в этом было столько прямоты, столько мужской искренности, беззащитности. Он пел весь напрягшись, как струна, и немного вздрагивал в ритме песни. Я его слушала один только раз, когда Саше было два месяца. Мне было не до Петрова в тот вечер, молоко прямо-таки раздавливало мою грудь, стояло во всех долечках, и грудь чувствовалась как деревянная, граненая. Я нервничала, бесилась, чувствовала, что Саша хочет есть, а номер Петрова, как всегда, был в самом конце программы. И вот наконец он со своими ребятами вышел на сцену, они катили рояль, а он нес маленький микрофон, новинку. Долго ударник устанавливал свои перкаши, потом они сыграли Чемберлена, мягкий вальсок, потом наконец «Шейкохэм».	Second	Second
Донна Анна вышла к машине на закате дня, пламенея под лучами низкого солнца, темная как старая картина, только с копной совершенно седых волос, кутаясь в вязаное пальто художественных расцветок, на ногах дивные мягкие сандалии, местное население не все хватало в обмен на водку, уборщицы не оценили, не взяли.	Second	First
Отец, несмотря на это, все-таки как-то еще удерживался в семье, и трудно сказать, на каком основании этот человек пытался каждый вечер возвращаться домой в миролюбивом состоянии духа, со смущенным или деланно равнодушным или еще каким придется видом, каждый раз не его собственным, а каким-то наживным, приготовленным только что, а не с тем естественно мрачным и ненавидящим лицом, какого только и можно было ожидать от него в этой ситуации, -- но нет, не в его силах было прийти озлобленным, он все примеривался, что бы лучше изобразить, возвращаясь каждый раз домой к одиннадцати часам. Он не хотел возвращаться домой раньше, никогда в жизни не хотел, и это было основой основ, и каждый раз с деланным тем или иным видом он являлся домой в одиннадцать часов и заставал дома каждый раз ту картину, что дети ни один не спали, а жена в слезах сидела с маленьким на кровати. Если же отец пытался по собственной инициативе, в свойственной ему мягкой манере уложить девочек спать, то мать начинала вырывать у него детей и кричать, что никто пусть не спит, раз так, и все пусть смотрят на потасканного отца, который свеженький вылез из чьей-то постели с румянцем на щеках, который только что своим поганым ртищем, этой воронкой, целовал бог знает кого, а теперь лезет мокрыми губами к чистым девочкам, с которыми он тоже готов уже переспать, -- и так далее.	Second	Second
Потом, не теряя драгоценного времени наркома даром, он встал, умылся, оделся и пошел завтракать на кухню. Кухня была внизу, на первом этаже. Лаврентий Павлович ел яичницу с ветчиной и сулугуни и рассеянно смотрел на Глашу, хлопотавшую возле плиты. Жена у Лаврентия Павловича была брюнеткой, а Глафира Юрьевна -- светлая, белокурая. Он и держал ее не только потому, что она хорошо готовила, но и потому, что Глафира была блондинкой. Впервые он увидел эту блондинку два года назад на кухне ресторана «Москва». Он влетел в эту кухню разъяренный: на пять минут задержали горячее блюдо для дорогого гостя. Увидев на кухне Глашу, яркую, полную блондинку, стал орать, выгнал всех к чертовой матери, а Глашу прижал к кафельной стене, стал вдруг гладить ее груди, приговаривая: «Ты мне еще попоешь». Затем сунул руку куда-то вниз, во что-то теплое, мягкое и, не почувствовав ни малейшего сопротивления, познал ее, насмерть напуганную, стоя.	Second	First
Слова Лукария и спокойная манера говорить возымели действие. Евсевий как-то разом обмяк, настороженность в глазах уступила место мягкой грусти. Он подсел к столу, взял свой бокал. Лукарий решил -- пора!	Second	Second
Хронос долго, внимательно рассматривал Серпину, наконец тихая, мягкая улыбка тронула его губы.	Second	Second
С этими невеселыми мыслями Серпина закутался в длинный, до пола, плащ и, надвинув на лоб шляпу, решительно вышел из астрала. Как оказалось, приготовления его были весьма не лишними, в горах шел густой мокрый снег, сотней голодных волков завывал, проносясь между вершинами, налетавший порывами ветер. Прижавшись спиной к выемке в камне, Серпина огляделся, перевел дух. Как он и предполагал, замок стоял на вершине отвесной скалы, и стены его казались естественным ее продолжением. Сдержанность архитектуры говорила о том, что построен он был не позднее первого крестового похода. Серпине казалось, что где-то там, в глубине каменной глыбы, он видит мягкий розовый свет, но густая снежная вуаль и надвигавшиеся сумерки превращали видение в догадку. Тяжело вздохнув, Серпина оторвался от спасительного камня и по едва заметной тропинке пошел вверх, рискуя на каждом шагу быть сброшенным в пропасть. Цепляясь за чахлый кустарник и пережидая порывы ветра, он наконец добрался до маленькой, вырубленной в толще скалы площадки, перегороженной массивными чугунными воротами. С их ржавой, изъеденной временем и непогодой поверхности на него смотрели, разинув бронзовые пасти, два льва. На вбитом в скалу крюке висел колокол. Серпина ударил в него трижды. Давно затихли умноженные горным эхом одинокие звуки, белое марево сомкнулось, забросав все вокруг липким снегом, а он все еще стоял, подперев спиной грубую каменную стену. Наконец где-то наверху метнулся свет факела, створка ворот со скрипом приоткрылась и прямо перед собой Серпина увидел огромного негра, равнодушно смотревшего на него темными, навыкате, глазами. Снежинки таяли на обнаженном торсе гиганта, негр молчал. Застывшими от холода пальцами Серпина развязал на груди тесемки плаща, в рвущемся на ветру пламени факела блеснула золотая пятиконечная звезда. Завидев этот высший знак дьявольской власти, негр почтительно склонился, отступил в сторону, пропуская гостя в глубину маленького дворика. Ворота лязгнули, тяжелый дубовый засов лег в массивные скобы. В молчании они взошли на обледеневшую спину подъемного моста и еще долго блуждали вырубленными в камне переходами, где пахло сыростью и мышами и огромные, обитые железными полосами двери скрипели так, что волосы от ужаса становились дыбом. Стесанные ступени узких винтовых лестниц кое-где поросли мхом, скользили под ботфортами. Поднявшись по одной из них, они оказались в маленьком полутемном помещении, освещенном лишь коптившей масляной плошкой. Попросив жестом подождать, негр надавил на каменную стену и скрылся в проеме потайного хода. Впрочем, он тут же вернулся и, склонившись в пояс, пригласил гостя пройти в открывшийся взгляду Серпины рыцарский зал.	Second	Second
Серпина приблизился, заботливо пододвинул кресло к камину и, только дождавшись, когда Черный кардинал опустился на его мягкое кожаное сиденье, позволил себе сесть напротив. Расслабившись и вытянув к огню тонкие стариковские ноги, Нергаль прищелкнул пальцами, и в тот же миг в зал вошел негр, неся на серебряном подносе две глазурованные кружки, в которых дымилось подогретое вино. На этот раз негр был одет в белоснежную, расшитую золотом ливрею, его огромные руки обтягивали белые перчатки.	First	First
Лука поджег сандаловую палочку, и сладкий восточный аромат поплыл по комнате. У Анны кружилась голова, ей казалось, что все это происходит с кем-то другим, что она лишь зритель бесконечно увлекательного, но всего лишь фильма. Вот сейчас вспыхнет свет, и сказка кончится... Кто этот сидящий перед ней мужчина? У него мягкие манеры, смеющиеся глаза и такие жесткие, горькие складки у губ. Что он здесь делает? Сколько может быть ему лет? Анна почему-то вспомнила Машку, ее рассказ, и улыбнулась.	Second	Second
-- Нет! Честно скажу, мне нравилась твоя горячность, когда ты узнал о существовании секретного протокола между нашими департаментами. Я и сам был не в восторге от соглашения поддерживать в мире равновесие между Добром и Злом. Это лишило нас соревновательности, но, в отличие от тебя, я смирился. Есть вещи, которые превосходят твои возможности, и их надо принимать как данность. Ты этого не понял, как не понимаешь и сейчас. До тебя почему-то не доходит, что, если Он дважды не пожелал заметить твой протест, значит, с тобой самим что-то не в порядке! Да и кому какое дело до этой маленькой планетки на задворках галактики! Не я, не ты, а Он создал мир таким, каков он есть, и, значит, все, что происходит, происходит с Его ведома и в соответствии с Его замыслом! Низвергнув Денницу с небес и превратив падшего ангела в Люцифера, Он тем не менее не отнял у него могущество и власть. Ты не задумывался -- почему? Да потому, что павший серафим был нужен Ему в этом новом качестве! Тогда, спрашивается, против кого ты восстаешь? Неужели ты думаешь, что мелким, ничтожным людишкам нужна твоя жертва? У них есть надежда, и этого вполне достаточно, чтобы дотянуть до могилы, -- Серпина мелко засмеялся. -- В первый раз, не знаю уж почему, но тебя приговорили только к ссылке. Теперь на такую мягкую кару ты рассчитывать не можешь.	Second	Second
На привокзальной площади все бурлило. Толпы прибывших в столицу мешочников с ошалелым видом расспрашивали каждого встречного-поперечного, как пройти или проехать, и, выслушав ответ и мало доверяя этим ушлым москвичам, тут же перепроверяли полученные сведения. В огромном зале Казанского вокзала было многолюдно. Одуревший от духоты и стиснутости народ штурмовал железнодорожные кассы в надежде поскорее покинуть безумный город. Понаблюдав со стороны картину массового проявления человеческих страстей, Лукин забрал из камеры хранения свой потертый докторский саквояж и вернулся в кассовый зал. С озабоченным видом рассеянного, потерявшегося в толпе интеллигента он несколько раз прошелся вдоль бесконечного хвоста очереди, то вынимая, то нервически засовывая в карман макинтоша пухлое портмоне. В промежутках между этими лишенными какого-либо смысла действиями Лукин то и дело ставил на пол свой саквояж и с усердием вытирал взмокший лоб большим носовым платком. Ждать пришлось недолго. Как при запахе крови поднимается к морской поверхности и начинает ходить кругами акула, так и некий невзрачный тип стал все чаще мелькать в поле зрения Лукина. В кепчонке блином, мятых, с мешками на коленях брюках и узковатом, кургузом пиджачишке -- рыжий сужал круги. Однажды, как бы невзначай, он даже едва заметно притерся к своей жертве, но, видно, что-то спугнуло и он снова растворился в густой толпе. Наконец, пользуясь тем, что человек в шляпе, усиленно моргая, уставился на расписание поездов, рыжий мягко причалил к растерявшемуся лопуху и легко и непринужденно запустил руку в карман его пальто. Он уже нащупал портмоне, его музыкальные пальчики уже сомкнулись на мягкой коже дорогой зарубежной штучки, обещавшей так много прелестей жизни, как вдруг непонятно отчего кисть руки пронзила страшная боль. Рыжий еще не понял, что случилось, но шестым чувством профессионала уже знал, что попался с поличным. В следующее мгновение вор обнаружил и причину испытываемого, мягко говоря, неудобства. Он стоял в сомкнувшемся кольце людей, в то время как мужчина в шляпе сжимал его руку, продолжавшую пребывать в чужом кармане.	Second	Second
-- Неужели бабье лето? -- Оказавшись на улице, Лукин запрокинул голову, посмотрел в расчистившееся небо. К ночи действительно потеплело, северный ветер стих, уступив место мягкому дыханию далеких южных степей. -- Люблю это время! Есть в нем светлая грусть и еще что-то такое, -- он прищелкнул пальцами, -- что хватает за сердце. Наверное, глухой страх перед долгой осенью и близкими холодами. Человек -- он во всем звериной породы, не любит суровой зимы...	Second	Second
Он тронул ее за плечо. Его пальцы были еще влажными и оставили пятна на блузке. Она включила автомат и подставила плечо под горячий воздух. Ворот отлетел в сторону, обнажая ее грудь. Вильям видел мягкие соски ее груди. Расплывающиеся и набухающие из-за горячего воздуха. И ткань касалась их, дрожа.	First	First
-- Может, тебе не стоит стричь волосы. Они у тебя мягкие и не будут стоять, как у ежа. Ты не японец. Ты русский, -- она все трогала его волосы.	Second	First
-- Что-то должно там измениться? -- Слава пошла за Вильямом, обойдя маленькие, хрупкие стулья, ступая по мягкому ковру.	Second	First
