context	result	golden_standard
-- Вальтер, ты мужественный человек, -- набрав полную грудь воздуха, патетически начал Изя. -- Ты должен быть готов...	Second	First
Такая история. Да. Самое главное забыл. Помните, в самом начале я обещал рассказать, почему название города вымышлено? Так рассказываю. Банду Папы Бори практически в полном составе арестовали. Совсем недавно. Ведется следствие. Так-то.	Second	Second
Натуральное происхождение красящих добавок также не дает гарантии их полной токсикологической безопасности, так как они могут содержать нежелательные примеси, такие, как алкалоиды и физиологически активные гликозиды. Однако, как показывает анализ научно-технической литературы, допустимые суточные дозы потребления установлены не для всех колорантов.	Second	Second
-- Приходится, Лев Иванович, приходится! -- сокрушенно сказал незнакомец. -- Времена-то какие!.. Но давайте перейдем к делу, а то глубокая ночь на дворе. Вам-то спешить никуда не надо, а у меня завтра полный рабочий день. Крутишься, как белка в колесе, а тут еще вы мне задачки подбрасываете...	Second	Second
      В некоторых случаях один праздник ведет к другому празднику. Святой Иоанн Златоуст говорит о Рождестве Христовом, что, как ни велик этот праздник, а полный свет его нам открывается только в Богоявлении. Эти праздники связаны: Бог вступает в мир беспомощным, беззащитным Младенцем; Он вырастает в полный рост Сына Человеческого, и в этот момент Бог свидетельствует о Нем, что Он -- Единородный Сын Божий. Тогда Он начинает Свое земное служение, которое Его приведет в Гефсиманию, ко кресту и Воскресению. Один праздник как бы увядает, но мы видим в евангельских чтениях, в молитвах и песнопениях, как он срастается с жизнью и уже подготавливает следующее событие. Все громче и яснее мы слышим приближение грядущего события, которое исполнит прошедшее. Так же и с Пасхой: Воскресение Христово ведет нас к Сошествию Святого Духа, Пасха ведет к Пятидесятнице, и как ни велик праздник Пасхи, его исполнение, свершение в полноте -- на Троицу.	Second	Second
-- Порядок составления, рассмотрения и утверждения местного бюджета регулируется «Положением о бюджетном процессе г. Дубны Московской области», утвержденным решением Совета депутатов города от 07.06.2001 г. Это «Положение...» соответствует требованиям действующего законодательства, в частности, нормам Бюджетного кодекса РФ, федеральным и областным законам о местном самоуправлении, Уставу г. Дубны. При принятии местного бюджета на 2002 год Совет депутатов руководствовался данным «Положением...». В бюджете Дубны-2002 статьи расходов, финансируемые исключительно из местного бюджета, отражены в полном объеме, размер дефицита запланирован в пределах нормы, установленной Бюджетным кодексом. Бюджет города на 2003 год принят Советом депутатов 19.12.2002 г. Таким образом соблюдены требования статьи 187 БК РФ, устанавливающей необходимость рассмотрения и утверждения проекта решения о бюджете до начала очередного финансового года.	Second	Second
работать во имя великих идей. В эти же годы полным ходом идет театральное	Second	Second
И вот, когда после двух лет полного отсутствия личного	Second	Second
литургического творчества, которое в полной мере отражало бы насущные нужды православных христиан. Епархиальным Богослужебным комиссиям следует усилить контроль за качеством текстов, представляемых в Синодальную комиссию. Подтверждая благоговейное	Second	Second
Это замечание в полной мере относится к обсуждению проблем экономического роста, который начался в России в 1999 году. В отечественной литературе доминируют две концепции объяснения природы этого роста. Первая связывает его с реальным обесцениванием рубля после кризиса 1998 года и благоприятной конъюнктурой рынка нефти. Второй причиной роста называют реформы, которые проводит российское правительство в условиях политической стабилизации, наступившей после выборов 2000 году. Эти реформы, безусловно, важны и для обеспечения долгосрочного устойчивого роста. Действительно, для России конъюнктура рынка нефти и реальный курс -- важнейшие факторы макроэкономической политики, влияющие на рост. Но природа нынешнего роста все-таки иная. 	Second	Second
Педагогика неотомизма имеет своей прямой целью борьбу с марксистской антирелигиозной материалистической концепцией, против освободительного движения, активности и сознательности народных масс, добивающихся лучшей жизни на земле путем освобождения человечества от всяких форм эксплуатации и угнетения, за полное равенство всех людей.	Second	Second
И несмотря на эту щепетильную порядочность, скромность и даже стеснительность Гроссмана, бытовало мнение, что у него тяжелый характер. Как-то раз ему домой позвонил заместитель главного редактора «Нового мира» Кривицкий, которого Гроссман не жаловал. Когда трубку сняла Ольга Михайловна, Кривицкий откровенно обрадовался: «Как я рад, что попал на вас! Зная сложный характер Василия Семеновича, думал, он меня пошлет по матушке». Гроссман и в самом деле не чурался крепкого слова. С теми, кого не уважал или презирал, мог быть колючим, язвительным, упрямым. При этом любил говаривать, что всем подряд нравятся только полные синеглазые блондинки, а он к их числу не принадлежит... Вспоминая Василия Семеновича, Наталья Роскина утверждала, что в последний раз он улыбнулся еще перед Великой Отечественной войной.	Second	Second
Вместо того, чтобы жить несуетливой, размеренной, в ритме календарного года жизнью, есть простую, но здоровую пищу, пить светлую вкусную воду, дышать чистым воздухом, пользоваться огнем от сгорающего дерева, ежедневно физически трудиться (но не подневольным трудом), удовлетворяться тишиной и миром домашнего очага, находиться в постоянном контакте с землей и небом, с природой... Нет, я не говорю, что был такой вот золотой век, полная благодать и все были счастливы. Но если бы человечество через все людские беды и неурядицы стремилось к такому образу жизни и заметно приближалось к нему, если бы при этом развивались и обогащались духовные способности человека, то это был бы, конечно, истинный прогресс. А теперь... Сигарный дым вместо свежего воздуха или дым городов, работа в шумных цехах, повсеместный алкоголь, наркотики, повсеместный распад семей, сложные коктейли вместо чистой воды, кошмар телевизора, дикие искусственные скорости, постоянная спешка, гонка, нервы, а отсюда -- болезни и болезни...	Second	Second
-- Это понятно, -- закивал Михаил Сергеевич. -- Такое случается даже при полной здравости.	ZERO INTERSECTION	Second
Все еще было впереди. И испепеляющий жар плевненских штурмов, и двадцатиградусные морозы Шипки, и подвиг румынского капитана Вальтера Морочиняну, и полный Георгиевский бант казачьего урядника князя Цертелева. Впереди было боевое крещение болгарского ополчения под Старой Загорой, донесение корреспондентов «на Шипке все спокойно», превратившееся в поговорку, и звездный час генерала Скобелева 2-го, ставшего национальным героем Болгарии.	Second	Second
Эпидермис -- верхний слой кожи -- эластичен, упруг и прочен. Он обладает свойством быстро восстанавливаться при повреждении. В свою очередь сам эпидермис состоит из пяти слоев. Верхний слой -- роговой -- образован отжившими, мёртвыми клетками, но именно от него во многом зависит внешний вид кожи. Полная замена клеток эпидермиса происходит в течение 21-28 дней. Новые клетки рождаются в базальной мембране на границе эпидермиса и дермы и по мере взросления продвигаются наверх.	Second	Second
-- Не следует термитов называть муравьями. Они даже не родня муравьям. Людей поражают размеры их построек. Да, действительно, постройки термитов огромны. Термиты проходят через неполное превращение; их личинки, едва покинувшие оболочку яйца, уже до некоторой степени походят на взрослых насекомых. А наши муравьи претерпевают полное превращение. Из яйца выходит личинка, но она не имеет никакого сходства с взрослым насекомым: безногое, мешкообразное животное. Оно должно еще претерпеть ряд коренных видоизменений, пройти стадию полного покоя -- стадию куколки -- и только после этого стать муравьем. Муравьям надо разместить, устроить в своем «городе» и накормить все это потомство: яйца, личинки, куколки... Ходов, переходов, комнат, комнаток, галерей и этажей в муравейнике неисчислимое количество.	Second	Second
Но, полный воспоминаний, он сидя задумался, водя машинально карандашом, а когда глянул на лист, то просто сам покраснел от возмущения. Покраснел, ибо там было написано следующее:	ZERO INTERSECTION	Second
Утром услышал голоса, показалось -- немцы. Так целый день и просидел в кустах. Было жарко, хотелось пить, но вылезти из кустов не рискнул. Старался даже не шевелиться. Не дай бог сучок под ногой хрустнет. Откуда только терпенье взялось? Под вечер все стихло, ушли. Что они делали, почему там оказались, голову не ломал, да и не способен был в тот момент думать: принимал все как факт. Стемнело. Через какое-то время осторожно вылез из кустов. Опять заборы, калитки, и так в темноте добрался до реки. Снова переждал патрули и тихо, без всплесков, переплыл на левый берег. Перешел пойму и в первой же деревне (между Придачей и Отрожками) знаками попросил пить. Вид у меня, окровавленного, был, надо полагать, достаточно жалкий. Говорить я практически не мог, лишь что-то сипел. Хозяйка поглядела на меня с жалостью и притащила полную кружку воды. Но вода в горло не проходила. Мне не удалось сделать ни одного глотка.	Second	First
-- За три дня напряженных боев, -- читает полным блаженства голосом диктор, -- преодолевая сопротивление противника, продвинулись на шестьдесят -- семьдесят километров... Нашими войсками заняты город Калач, станица Кривомузгинская... Тринадцать тысяч пленных... триста шестьдесят орудий...	Second	Second
Тесное рабочее взаимодействие осуществляется и с Отделом по делам молодежи, и с Отделом по взаимоотношениям Церкви и общества, и с Издательским Советом. Вместе с тем здесь нам следовало бы наладить более полное и регулярное взаимное информирование о мероприятиях, инициативах, выступлениях, связанных со сферой образования, а также более тесную координацию с тем чтобы избежать дублирования и повысить общую эффективность нашей деятельности.	Second	Second
Конечно, времена были тяжелые, и сразу поступить в институт Штейну не удалось, пришлось пойти работать слесарем на завод, а затем подоспела и мобилизация на армейскую службу. И вот тут-то Советская Армия дала ему широкую дорогу в жизнь, ведь шахматы в ней были в почете. Тогдашний министр обороны маршал Родион Малиновский был фанатиком шахмат и не пропускал ни одного крупного турнира, а в первенствах Вооруженных Сил устанавливал даже собственные призы. Здесь, можно сказать, судьба улыбнулась Штейну -- он получил возможность играть на полную катушку! Сначала он стал вице-чемпионом Вооруженных Сил, проиграв матч никому иному, как Лутикову, а затем и чемпионом.	Second	Second
-- Предатель! -- продолжал кричать Масахиро. -- Я всегда знал, что ты трус и предатель! Если бы я попал в плен в полном сознании, как ты, у меня бы хватило смелости сделать себе сэппуку.	Second	Second
На диване против картины сидела седая полная дама в черном. Она смотрела на картину в лорнет. Рядом с ней сидела молодая женщина с русыми косами.	Second	Second
Середина жизни -- вершина, временной пик жизненной тропы -- для любого из нас оказывается полной неожиданностью. Мы достигаем ее, уверенные в том, что находимся только в самом начале пути, толком еще ничего не испробовав и не постигнув. Открывшиеся взору границы отпущенного времени и наших возможностей, конечность жизни поначалу притягивают, не отпускают взгляд, как кошмар. С этого момента мы учимся жить, не думая о неотвратимости нашего исчезновения. Пытаемся начинать каждый день так, будто не заглядывали в конец книги и не знаем, что герою не спастись.	Second	Second
Голуби полошились -- перелетали, размешивая световую пыль, тасуя комод со шкафом, буфетом, ванной на гнутых ножках, этажеркой, полной выцветших чертежей, свитков миллиметровки, стопок картона, исчерченного любительской сангиной, -- обнаженные натурщицы, срисовки неизвестных картин, статуи Персея, головы Олоферна…	ZERO INTERSECTION	Second
Через пятнадцать минут Крюков уже топтался на троллейбусной остановке. Как он и предполагал, Миха выдал ему полный комплект одежды -- потертый, грязноватый черный ватник без воротника, какие носят заключенные на зоне, солдатские галифе и кирзачи, дышащие на ладан, но способные выдержать путь от кладбища до центра города, где находилась Гошина квартира. Сапоги, правда, были размера на два меньше, чем требовалось Крюкову, и от этого его походка, и без того неуверенная, приобрела совсем странный, танцующий характер.	Second	Second
Третий год живет Владимир Ильич в Петербурге. О том, какую огромную работу он ведет там по собиранию, просвещению и организации революционных сил, знает только сестра Аня. Мария Александровна догадывается. Не зовет же он мать к себе в гости. Иногда сам появляется в Москве на короткое время и здесь постоянно чем-то занят. Летом пять месяцев был за границей. Приехал оттуда полный впечатлений, деятельный и чем-то озабоченный. Славно они провели тогда несколько вечеров на даче под Москвой. Всем Володя привез подарки: Мите -- астрономический атлас, Маняше -- французские книги, а ей, матери, -- кружевную наколку на волосы.	Second	Second
Насчет цены я уже закидывал удочку -- бесполезно. Представители фирмы пожимают плечами, а в кулуарных беседах звучат формулировки вроде: «плюс тысяча долларов». Думаю, так оно и будет. Кстати, наша «амазонская зелень» представляет собой самый «навороченный» вариант -- помимо «автомата» здесь есть кондиционер, полный электропакет и даже лямбда-зонд под капотом. На момент написания статьи предельная цена «ручных» «матизов» составляла 7800 долларов, так что считайте сами.	Second	Second
Приведу еще пример, чтобы одновременно пояснить ту кажущуюся произвольность, к которой я прибегаю, когда обращаюсь к совершенно, казалось бы, инородному для философии материалу. Значит, я сказал в прошлый раз, что если в какой-то момент настоящего времени я действительно подумал мыслимое, то я не могу не знать, что оно истинно -- в момент, когда мыслю. Когда подумаю, не могу не знать, что это именно так. То есть нельзя даже понять свое состояние, не приняв за истинное то положение дел, к которому оно относится. Но ведь это онтологическое уравнение мысли можно перевернуть и выявить в нем другое, не сразу заметное, содержание: если я не могу не знать что-то по истине в момент, когда подумаю во всей полноте внимания (или актуализации), то это означает, что я в принципе не могу узнать что-то, если уже не знаю. Отсюда и декартовское путешествие, в отстранении от мира, в бесконечность и одновременно внутрь своего «я». А теперь пример (очевидно, вы уже заметили, что нередко я обращаюсь за примерами в том числе и к тексту Библии). Так вот, пример следующий.	Second	Second
О, знал бы тогда адмирал флота Чернавин, какими экспрессивными эпитетами награждал его украинский президент Кравчук в телефонном разговоре с Ельциным! С того момента Владимир Николаевич, по мнению Леонида Макаровича, превратился в главного виновника новой тупиковой ситуации на российско-украинских переговорах. Срыв «блиц-приватизации» ЧФ, которую с такой тщательностью готовили в Киеве, надеясь на полный успех, был очень болезненной пощечиной украинским руководителям.	Second	Second
Но ничего особенного не произошло -- я уснул, сидя в кресле. Очнулся около пяти часов утра. Видимо, когда я вчера вырубился, потаскушки забросали меня пледами и оставили в покое. Я еле выбрался из этой шерстяной берлоги, налил себе вина и с полным бокалом пошел в сад. Мне надо было припомнить и как следует обдумать свой сон...	Second	First
Через короткое время стало известно, что Грибову, Ливанову, Хмелеву и, конечно, Немировичу-Данченко присвоена Сталинская премия. От Владимира Ивановича Грибов получил телеграмму: «Испытываю полное удовлетворение, что увенчалась полным успехом Ваша великолепная артистическая настойчивость охватить роль синтезом высоких идей и тончайших сценических приемов. Вл. И. Н.-Данченко». По своей скромности Алексей Грибов редко делился этой высокой похвалой своего учителя.	Second	Second
Не правда ли, расчеты, сделанные по непонятной формуле Боде (она была выведена эмпирически), удивительно хорошо согласуются с точными данными астрономических измерений? Полное исключение составляют лишь Нептун и Плутон, так как при n = 8 по формуле Боде мы получаем расстояние не до Нептуна, а до Плутона. При этом стоит заметить, что Плутон не просто забрался в таблице на место соседа, -- он вообще ведет себя весьма «вызывающе» в сравнении с другими планетами. Так как у его орбиты необычно большой эксцентриситет, расстояние от Плутона до Солнца колеблется в диапазоне от 30 до 50 астрономических единиц, и он иногда оказывается даже ближе к Солнцу, чем Нептун!..	Second	Second
Анна Андреевна гостила на даче у наших общих знакомых. Вернувшись, рассказывает, как проводили там время. Между прочими такая деталь: «Потом Нелли пошла в лес писать этюд... Да, etude». Она произносит слово «этюд» с французским прононсом, и ее ироническая оценка таланта этой художницы находит свое полное выражение.	Second	Second
-- Ты же знаешь, я люблю путешествовать. Единственное, что меня постоянно тревожит, так это, как ты там один. Я же знаю, что ты можешь умереть от голода рядом с полным холодильником. Утром я специально звонила маме и просила ее скрасить твое одиночество и заодно проследить, чтобы ты не голодал. Надеюсь, она приехала?	First	First
В полутьме наплывающего вечера, при свете далекой и маленькой Мамы Кильи, что затянула осенние песни, все стало таинственным и голубым. Болтливый ветер T дрожал и тихонько шептал в форточку, что лужицы на ночь затянулись первым льдом. Чужаки, чьи руки больно вторгались в Инкино тело, видимо, решили ее убить, сделав посланником к звездам или принести ее в жертву каким-то неизвестным и суровым идолам. И принесли: все исчезло, не стало ни тяжести, ни луны, ни ветра, наступило полное ничто, после издевательства чужаков, в нем оказалось не так уж плохо, а даже прохладно и легко. Черная дыра, в которую Инка попала, уравнивала землевладельцев и батраков, зверей и птиц, прорицателей и авантюристов, всех заставляла молчать, лишала пожитков и сбережений, делала кроткими, послушными, и смешивала в одно черное, густое месиво. Инка переходит реку, покачивается на подвесном мосту, сплетенном из волос, на том берегу уже ждет ее дикая собака, чтобы проводить в темноту. Инке осталось всего несколько шагов, она готова влиться в общий котел, но ее не пускают, бьют по щекам, тычут в нос тряпку, пропитанную застарелой мочой. Разве можно влиться в вечность, когда так обращаются с твоим бездыханным телом, хочешь --  не хочешь, овладевает возмущение и приходится оживать. Пусть жизнь и кусает гиеной за бока, а все хоть какая-то определенность в жизни этой собачьей имеется. Инка медленно приходит в себя, возвращается в горящее, мокрое, ноющее тело. Воздух пахнет свежей кровью, соленая густая змея течет по небу, болит прикушенный язык и хочется ужасно пить, но все это пустяки. Было бы почти хорошо, если б рядом так не орал, обезумев от страсти, кот. Безудержный кошачий крик заставлял похолодеть, казался бесконечным, видно, сам рекуай* -- e вырвался из своих гробниц и затянул гимн жизни, невыносимую брачную песнь. Инка пытается сесть, чтобы сорваться и убежать босиком. Инка смогла легонько приподнять голову, но удерживать ее не было сил, и голова, как спелая тяжеленькая дынька, упала назад. Инка вскрикнула, как не вскрикнуть, если в животе все окаменело от боли. Как не испугаться, когда простыня-то, оказывается, вся в крови. А еще ее, словно старую альпаку «, привязали, чтобы не ушла, какая-то окровавленная бечевка уходит туда, внутрь, не отпускает, не дает улизнуть. От беспокойства и негодования белые стены медленно пошли водить хоровод. Мучители подскочили, трясут тело, опять тычут Инке под нос отрезвляющий запах застарелой мочи, теперь их лица бледные, словно облеплены мукой, а глаза навыкате бегают туда-сюда. Кто-то сует в Инкины уши желтые осенние листья. Худая и сердитая женщина что-то говорит, а сама держит на руках съеженного, окровавленного зверя. Зверь сопротивляется, брыкается, бьется, видно, ему тоже невмоготу, хочет вырваться и убежать. Оглохшая от боли Инка узнает  голое, окровавленное существо привязано к ней на бечевке, именно оно, безумное от испуга, кричит, как ошалевший от любви кот, а к недоумению всех бледнолицых, неведомый зверь светится не хуже любого электричества. Инка осматривает существо недоверчиво -- уж очень оно дикое и напоминает детеныша обезьяны, а мордочка и зажмуренные глазки точь-в-точь, как у слепого котенка. Боль продолжает набивать Инкины уши листвой, теперь ее голова -- ватная. Тут только Инка замечает на голенькой головке черное перышко и длинные реснички на крошечных, зажмуренных в ужасе глазенках. Тогда она облегченно вздыхает, на ее бескровном, сером лице намечается гримаска-улыбка. Инка шепчет болтливому ветру T, что ворвался в форточку и освежил ее лицо, усеянное росой пота: «Передай Уаскаро: только безмозглая женщина наступает на грабли два раза. Скажи, только женщина, которой грифы начисто выклевали мозги, могла найти, а потом снова потерять его...»	Second	Second
В имении жизнь шла своим чередом. Орловский дом был полная чаша. Горы ягод, фруктов, чудные молочные продукты -- все это не сходило со стола. При этом хозяев всех этих благ немилосердно обкрадывала многочисленная челядь. Заправилой в этом отношении был наглый и хитрый лакей Матвей. Мама рассказывала потом, как неподалеку от нашего красного флигеля каждый день на рассвете под руководством Матвея нагружались возы фруктами, овощами, птицей, молочными продуктами и отправлялись на базар в соседнее торговое село Макарово. В результате этих ежедневных занятий Матвей настолько разбогател, что впоследствии открыл в Макарове не то лавку, не то трактир.	Second	Second
Приходим мы в полк и спускаемся в землянку. А в землянке лежит майор -- командир полка, раненый, и бредит он на полный голос, отдает в бреду команду и разные приказания, и весь горит, а врачей и санитаров нет, никак их не дозовешься. Я охрип тогда, вызывая кого-нибудь из врачей по телефону. Товарищ Нечаев перевязал командира полка, как мог, и все сидит возле него, мокрый платок ему кладет на лоб, пробует узнать про полк, да про его силы, да про его задачу, а тот ничего не видит и не слышит, а штаб полка вместе со своим начальником и со всеми картами и документами отрезан противником и сидит обороняется где-то в деревне, за три километра.	Second	Second
Цыганщина ее очень соблазняла, но оказалось, что работать в этом театре очень сложно: эта самая цыганская вольница, столь обаятельная на городских площадях, в электричках и на театральных подмостках, оборачивалась в работе полным безобразием: назначенные режиссером встречи состоялись с пятого раза, каждая актриса закатывала скандалы, требовала невозможного. В тот день, когда немолодая, одна из самых голосистых артисток швырнула Нике в лицо бордово-красный наряд -- вместо бело-кружевного, которого ей хотелось, -- а Ника столь же ловко отпульнула его обратно, подбив его артистическим матом для весу, как подшивали прежде грузики в подолы легких платьев, случилась неприятность, которой Ника давно ждала и всячески пыталась избежать.	Second	Second
Потом, когда война кончилась и цензуру отменили, появилась возможность возобновить нормальную переписку по-русски. Бунин начал писать длинные письма. Во Франции был еще настоящий голод, посылки и даже деньги мало помогали. Письма от Ивана Алексеевича из Парижа или с юга Франции приходили часто -- все они были полны жалобами на недоедание, на болезни, на страшную дороговизну и полное отсутствие денег. С 47-го года и до конца жизни Бунина приходилось в частном порядке собирать для него деньги среди богатых людей. Взамен они получали книгу с автографом писателя -- много он роздал таких автографов в последний, тяжкий период своей жизни.	Second	Second
В России всегда была очень большая дистанция между народом и властью. На этой дистанции, на таком «почтительном отдалении» и строилась вся государственная система: власть далеко, где-то на небесах, поэтому ее надо уважать и бояться. В конце концов такая дистанция привела к полному крушению всякой власти и гибели старого государства. Но ведь гигантская дистанция между народом и бизнесом не менее опасна, не менее гибельна для страны. 	Second	Second
Для более полного ознакомления с параллельными численными методами решения систем линейных алгебраических уравнений можно обратиться, например, к обзору [8, 9].	ZERO INTERSECTION	Second
Невестка, хорошая женщина, полная сил, хотя и изнуренная долгой дорогой, когда приходит навещать двух сестер, хозяек спасенной дворняжки, то приносит гостинчик, конфет и пряников, и тут же щебечет, что так соскучилась по свежему воздуху, и что Елизавета Федоровна живет просто в раю, в раю, и получает в ответ напряженное молчание. Такой дом, такой чистый кислород! А они все, вся семья, торчат в условиях Москвы, с утра на работу, вечером с работы, да жара (а то дожди), и так дико, дико устают, что в выходные только спят, царство сонных сурков! А квартирка тесная, населенная (четверо в трех комнатушках), вещей немыслимо старья, собранного из шести комнат, и не выбросишь чужое (тут кивок головой вбок и слегка назад, в сторону воображаемой Елизаветы Федоровны). Короче, ад и ад. А тут рай, рай и рай. Только вышла из машины -- тихо, аромат, воздух, рай! И на всем готовом (опять легкий выброс головы в сторону). И тихо, одна в доме, тарарам, тиририм, одна и та же песня про вампира Елизавету, которая сосет все соки из семьи. Ей и домработница, и корт с бассейном! Все для нея!	Second	Second
«Спасибо, свиное рыло, чучело напыщенное, одряхлевший Скалозуб. Да почему же, почему ты поставлен надо мной и даешь сейчас мне, тонкому стратегу, эту дурацкую работу? Где же я недоглядел? Где же?.. А не подкатиться ли к самому графу Сергею Юльевичу? Ведь мы же с ним в полном смысле единомышленники. Спокойно, спокойно, Ехно -- на рысьих лапках, Егерн -- удар по темени… Мы еще потолкуем, господин Караев…»	Second	Second
И ноги сами принесли его к ипподрому, потому что оттуда тоже доносилась музыка. И он прошел к пустому полю и встал в воротах, прислонившись к балясине, и никто не остановил его и не спросил, кто он и зачем. Может быть, приняли его за служителя, а может быть, проглядели, ввиду его полной осенней неприметности.	Second	Second
В тот момент, когда я предстала перед ее грозным ликом, она была еще в полном блеске величия. Ее черные кавказские глаза метали молнии. Широкая короткопалая рука, вся в кольцах, то и дело поднималась в повелительном жесте.	Second	Second
К Мезенцеву подъезжают конные. Передний, раскормленный и крепкий, с сильными ногами в стременах и толстыми ляжками на седле, с серебряной медалью на полной груди, вытирает платком лоснящиеся от пота, как будто сальные щеки. В потной руке -- поводья. Этот тоже из ансамбля, плясун, кажется. Я уже давно заметил, что у таких вот нестроевиков и выправка и вид самые строевые, и обмундирование сидит на них как влитое. Взять его, затянутого в ремни, украшенного медалью, и моего Панченко в засаленных брюках, в стираной-перестираной, белой от солнца гимнастерке, в пилотке, за отпоротом которой вколоты иголки с черной, белой и защитного цвета нитками, да отправить обоих в тыл, да показать девкам -- скажут девки, что Панченко где-нибудь всю войну отирался при кухне, а вот этот и есть самый настоящий фронтовик.	Second	Second
Что дали стране рекордные темпы Тракторостроя? Нужна ли была такая самоотверженность, риск, полная отдача сил?	Second	Second
Старобельском… Полная чепуха. Весной 1918-го еще не было ни 12-го полка… ни	Second	Second
